origin,distance_nm,month,bunker_price_usd,pressure_index,freight_rate_usd
South Africa,3800,4,732.48,46.5,20.74
Australia,4500,1,795.2,46.6,26.55
Indonesia,2200,1,852.65,27.3,15.06
USA,8500,2,837.41,72.9,48.64
Indonesia,2200,3,810.1,20.5,12.41
South Africa,3800,9,648.48,43.0,20.74
Indonesia,2200,9,818.12,34.0,13.75
South Africa,3800,1,702.03,81.2,26.54
Indonesia,2200,5,845.28,25.0,12.57
South Africa,3800,5,763.7,74.5,24.63
Indonesia,2200,3,669.23,20.9,11.85
South Africa,3800,4,602.66,27.6,17.34
Australia,4500,8,830.67,54.6,28.91
South Africa,3800,1,669.11,67.6,25.14
Indonesia,2200,10,647.54,26.8,12.47
South Africa,3800,7,540.78,45.4,21.63
Australia,4500,12,725.89,84.1,31.54
Indonesia,2200,3,770.71,65.6,14.96
Australia,4500,2,637.92,55.5,24.26
USA,8500,1,698.45,80.7,51.95
South Africa,3800,8,769.15,33.4,23.32
Australia,4500,1,862.52,70.5,29.88
South Africa,3800,11,544.86,50.8,23.32
Indonesia,2200,12,837.36,67.5,17.53
Indonesia,2200,8,821.0,73.4,18.19
Australia,4500,9,711.37,53.2,25.55
Indonesia,2200,9,837.72,50.3,14.4
Indonesia,2200,3,621.12,33.5,12.29
Australia,4500,6,660.19,55.2,24.23
Australia,4500,6,676.05,84.8,28.12
South Africa,3800,3,599.24,42.8,19.53
Australia,4500,11,653.01,22.9,22.61
Australia,4500,11,656.52,74.0,28.53
South Africa,3800,2,798.21,55.6,23.01
Australia,4500,8,673.39,55.6,26.82
Indonesia,2200,4,570.52,63.6,14.64
South Africa,3800,11,581.16,32.7,20.59
USA,8500,7,737.95,48.2,48.58
Indonesia,2200,10,728.37,61.1,14.79
Indonesia,2200,6,659.04,58.3,13.63
Australia,4500,11,830.14,76.5,31.13
South Africa,3800,10,770.62,44.9,21.66
Indonesia,2200,2,865.06,48.0,15.52
South Africa,3800,3,749.09,41.1,22.18
Australia,4500,12,686.72,38.1,25.43
Australia,4500,5,813.38,70.6,27.78
Indonesia,2200,6,803.22,70.3,15.3
Australia,4500,5,613.45,22.2,21.02
Indonesia,2200,3,816.76,61.0,15.39
South Africa,3800,11,705.11,67.9,25.09
South Africa,3800,6,553.96,68.6,22.45
USA,8500,11,879.6,41.2,46.78
Indonesia,2200,10,522.06,50.3,12.31
Australia,4500,3,528.07,43.4,22.86
Indonesia,2200,11,524.93,25.2,12.22
Australia,4500,11,521.92,81.0,29.18
South Africa,3800,10,660.61,24.5,19.41
Indonesia,2200,11,728.38,57.0,16.27
Indonesia,2200,11,854.49,42.2,14.21
USA,8500,12,697.89,76.0,51.03
South Africa,3800,6,733.54,23.5,20.08
Indonesia,2200,2,559.62,80.1,15.09
South Africa,3800,7,768.72,65.3,25.48
Australia,4500,7,735.75,31.7,26.24
Indonesia,2200,6,728.7,49.4,13.98
South Africa,3800,4,865.93,54.8,21.82
South Africa,3800,2,726.14,38.0,20.28
South Africa,3800,8,733.87,65.7,26.62
Australia,4500,10,550.44,59.4,23.56
Indonesia,2200,8,590.8,67.9,17.26
Australia,4500,9,879.01,22.0,22.46
USA,8500,8,858.68,70.4,55.7
Australia,4500,12,544.13,83.4,29.15
USA,8500,3,718.68,71.3,46.77
South Africa,3800,10,602.57,50.5,20.35
Australia,4500,5,710.76,84.0,27.99
Australia,4500,8,678.31,38.1,25.67
Australia,4500,8,566.68,36.7,25.75
Australia,4500,4,595.78,72.6,25.76
Indonesia,2200,8,549.79,51.5,14.93
Australia,4500,12,742.2,30.1,25.17
Australia,4500,8,744.64,37.8,26.45
South Africa,3800,1,679.03,84.0,27.28
Australia,4500,2,685.04,67.1,25.62
South Africa,3800,3,877.04,63.2,23.67
Indonesia,2200,8,653.73,32.7,13.91
South Africa,3800,9,697.32,51.4,21.04
Indonesia,2200,2,564.36,65.4,15.21
South Africa,3800,8,590.71,81.8,27.0
South Africa,3800,10,833.06,46.2,20.77
USA,8500,8,653.98,63.0,50.39
Australia,4500,3,598.74,31.9,20.97
Indonesia,2200,6,737.39,57.5,13.32
Indonesia,2200,3,858.0,78.1,17.04
Australia,4500,11,824.24,71.7,30.22
Australia,4500,5,834.67,36.2,23.04
Australia,4500,10,805.33,60.8,25.86
South Africa,3800,1,625.82,35.4,21.23
USA,8500,7,624.93,33.5,43.67
South Africa,3800,1,798.11,65.7,25.06
South Africa,3800,6,674.79,58.8,22.65
Australia,4500,5,794.64,23.0,21.67
South Africa,3800,3,741.45,79.2,24.61
Australia,4500,4,620.25,75.4,29.08
USA,8500,1,806.56,69.0,50.73
South Africa,3800,9,739.0,38.3,19.55
Australia,4500,1,739.88,33.0,24.58
Indonesia,2200,1,605.3,64.0,15.34
South Africa,3800,7,853.85,43.8,25.2
South Africa,3800,8,799.09,35.2,22.62
Australia,4500,1,639.59,39.1,24.62
South Africa,3800,6,764.26,40.6,20.39
Indonesia,2200,7,735.87,52.9,16.8
Australia,4500,4,764.12,55.3,25.2
Australia,4500,12,876.44,40.3,25.97
South Africa,3800,1,552.04,84.5,25.25
South Africa,3800,12,586.86,44.2,20.88
USA,8500,9,848.76,32.3,40.79
Australia,4500,6,758.29,68.8,27.15
USA,8500,5,561.33,81.2,47.13
Indonesia,2200,3,596.48,63.1,13.4
Indonesia,2200,4,792.69,39.2,12.64
Australia,4500,1,678.42,67.4,28.27
Indonesia,2200,4,563.16,67.8,15.08
South Africa,3800,6,765.58,81.7,24.96
South Africa,3800,8,561.97,55.5,23.41
USA,8500,12,783.88,62.8,50.73
Indonesia,2200,2,721.81,81.3,16.64
Australia,4500,11,808.35,26.8,23.49
Australia,4500,6,597.29,24.4,22.43
South Africa,3800,1,771.89,60.1,24.18
Indonesia,2200,11,789.34,56.5,16.25
Australia,4500,12,874.08,36.9,25.88
Australia,4500,7,561.65,21.8,23.52
South Africa,3800,6,601.55,59.9,21.87
Australia,4500,5,788.26,25.0,21.09
Indonesia,2200,8,576.99,23.4,12.88
Indonesia,2200,6,723.65,31.9,13.08
Australia,4500,6,794.28,70.8,26.77
Australia,4500,5,856.15,64.5,26.64
South Africa,3800,10,857.36,40.3,21.63
South Africa,3800,4,722.39,66.5,22.11
Australia,4500,12,561.89,59.8,26.49
Australia,4500,3,603.33,64.3,25.51
USA,8500,12,813.28,59.8,48.39
Australia,4500,4,668.74,63.9,25.17
Indonesia,2200,4,720.28,21.9,12.37
Indonesia,2200,3,603.3,52.7,12.89
Indonesia,2200,9,632.7,74.4,15.31
Australia,4500,9,622.85,25.9,20.78
Australia,4500,2,763.88,47.8,25.03
Australia,4500,5,522.9,81.3,26.75
Australia,4500,12,656.45,79.5,29.85
South Africa,3800,9,631.05,57.2,21.17
Australia,4500,11,721.39,73.9,29.95
Australia,4500,1,782.21,42.5,26.67
Indonesia,2200,6,678.61,28.6,13.58
South Africa,3800,10,529.28,59.2,20.09
Indonesia,2200,1,675.15,39.8,14.24
South Africa,3800,7,670.19,30.4,22.45
Australia,4500,9,807.0,67.1,26.31
Indonesia,2200,9,758.22,59.2,15.66
Australia,4500,3,604.6,74.0,26.17
Australia,4500,2,853.53,47.3,25.25
Australia,4500,11,671.2,20.6,22.86
USA,8500,9,803.45,39.9,42.0
Australia,4500,12,651.08,56.8,28.29
Indonesia,2200,7,717.95,23.3,14.97
South Africa,3800,11,810.03,34.6,22.34
USA,8500,4,682.02,41.9,40.08
Indonesia,2200,7,596.01,68.9,16.94
South Africa,3800,3,694.38,65.1,22.19
South Africa,3800,10,595.09,39.3,19.64
Indonesia,2200,4,666.78,28.2,13.11
Australia,4500,6,532.48,45.5,22.08
South Africa,3800,4,838.99,78.2,25.22
Australia,4500,7,560.01,62.1,28.28
Australia,4500,4,558.01,22.9,20.71
Indonesia,2200,11,649.77,63.6,15.66
USA,8500,10,701.66,27.6,37.8
Australia,4500,3,728.01,76.3,27.27
South Africa,3800,4,680.72,60.2,20.87
Indonesia,2200,7,856.4,64.8,17.87
Indonesia,2200,10,708.5,36.5,14.03
South Africa,3800,11,877.11,39.1,23.25
Australia,4500,8,704.19,24.0,24.01
Australia,4500,2,762.58,75.0,28.34
South Africa,3800,2,795.7,20.4,18.05
Australia,4500,4,619.33,70.0,26.4
Australia,4500,8,788.95,34.2,25.72
Australia,4500,6,563.92,65.6,25.28
South Africa,3800,9,687.52,20.9,17.52
Australia,4500,2,823.13,51.4,25.78
Indonesia,2200,6,626.54,63.1,15.33
USA,8500,12,733.13,30.8,42.0
South Africa,3800,5,736.33,42.2,20.51
USA,8500,12,574.25,75.4,47.84
Indonesia,2200,4,860.53,39.2,14.43
Australia,4500,11,549.4,80.1,28.07
South Africa,3800,6,766.47,78.7,24.15
Indonesia,2200,7,565.46,72.9,17.05
South Africa,3800,5,557.24,46.1,20.52
Indonesia,2200,11,627.56,77.9,16.04
Australia,4500,8,841.99,73.5,32.05
Indonesia,2200,6,812.41,45.0,13.74
South Africa,3800,12,554.79,31.5,19.25
USA,8500,8,665.7,25.7,41.08
South Africa,3800,1,664.97,63.7,23.83
Indonesia,2200,3,651.28,68.0,14.5
South Africa,3800,4,791.25,76.7,24.59
South Africa,3800,6,553.3,70.7,22.99
Australia,4500,5,806.74,35.1,23.84
Australia,4500,8,866.85,27.0,27.67
South Africa,3800,4,754.68,74.1,23.45
USA,8500,7,604.15,61.5,50.41
Australia,4500,6,755.06,30.0,22.45
USA,8500,8,729.93,67.5,53.33
South Africa,3800,9,772.16,70.1,22.71
Australia,4500,3,848.08,21.4,21.8
Indonesia,2200,6,629.09,82.8,15.76
South Africa,3800,1,763.4,40.0,22.76
Indonesia,2200,2,730.44,83.0,14.89
Australia,4500,6,688.02,25.0,20.85
Australia,4500,4,664.25,27.5,21.61
Indonesia,2200,3,520.07,59.9,13.51
Australia,4500,7,669.39,67.5,31.12
Australia,4500,1,574.52,51.0,26.4
South Africa,3800,4,627.05,30.6,20.11
Indonesia,2200,4,784.37,33.6,13.31
South Africa,3800,9,555.49,27.6,17.84
Australia,4500,4,714.5,25.2,22.23
Australia,4500,12,836.36,56.3,28.16
Indonesia,2200,4,741.18,54.0,14.22
South Africa,3800,6,691.66,61.0,20.91
Indonesia,2200,2,630.51,32.7,11.96
USA,8500,10,583.78,66.9,44.6
Australia,4500,6,689.03,47.5,24.31
Australia,4500,6,551.01,72.9,26.56
Australia,4500,5,678.35,61.9,25.12
South Africa,3800,11,685.36,68.9,24.66
USA,8500,12,537.41,73.3,48.11
Australia,4500,8,719.69,73.7,31.67
South Africa,3800,9,680.34,20.9,18.66
Australia,4500,12,525.16,51.1,24.84
Australia,4500,6,541.45,59.3,24.3
Australia,4500,7,654.57,60.6,29.73
Australia,4500,3,586.41,33.1,21.39
Australia,4500,3,838.08,37.6,23.76
Australia,4500,4,522.64,21.7,20.81
USA,8500,9,720.83,82.4,50.53
Australia,4500,7,535.86,32.0,25.65
Australia,4500,11,732.12,49.5,26.84
South Africa,3800,2,581.16,28.3,18.51
Australia,4500,9,541.28,64.9,24.11
Indonesia,2200,9,571.32,44.8,12.77
Australia,4500,9,539.95,41.5,22.39
Indonesia,2200,9,669.56,21.6,11.48
Australia,4500,3,868.41,55.7,25.82
USA,8500,7,661.53,35.4,44.8
South Africa,3800,2,639.52,70.8,23.49
South Africa,3800,9,753.08,74.8,24.71
USA,8500,12,696.35,61.0,47.09
Indonesia,2200,6,585.12,71.9,15.81
South Africa,3800,11,653.96,53.9,22.43
Australia,4500,1,864.59,77.9,30.62
Indonesia,2200,7,724.68,23.8,15.54
South Africa,3800,3,662.56,28.6,19.83
South Africa,3800,7,732.05,81.0,27.05
Australia,4500,1,756.13,32.9,23.93
Australia,4500,8,611.63,50.7,26.66
Australia,4500,11,614.02,65.2,28.29
Indonesia,2200,1,567.95,37.0,14.02
South Africa,3800,1,769.85,31.9,20.88
USA,8500,6,552.87,40.7,37.47
Australia,4500,3,582.79,50.7,23.74
South Africa,3800,8,707.7,78.3,26.83
Australia,4500,1,830.2,57.5,28.32
Indonesia,2200,3,740.19,39.2,14.07
Australia,4500,10,585.08,37.5,21.78
Australia,4500,6,732.28,24.4,21.2
Indonesia,2200,11,551.6,31.2,12.4
Australia,4500,4,649.74,59.3,25.05
Australia,4500,8,760.8,71.9,32.51
Indonesia,2200,2,813.79,21.2,11.57
Indonesia,2200,9,836.71,23.2,12.95
Australia,4500,3,845.16,21.6,21.91
Australia,4500,12,648.37,79.3,29.34
Indonesia,2200,12,595.49,83.5,16.65
South Africa,3800,7,658.94,44.3,22.98
Australia,4500,2,867.48,47.8,24.64
South Africa,3800,7,701.6,40.3,24.34
Indonesia,2200,3,663.38,20.4,11.43
South Africa,3800,8,817.08,71.7,28.12
Australia,4500,3,864.27,44.5,24.34
Australia,4500,9,845.17,37.4,23.64
South Africa,3800,7,828.6,69.7,28.88
Australia,4500,8,555.1,75.5,29.41
Indonesia,2200,11,703.81,27.8,13.55
Australia,4500,3,583.77,20.3,19.81
Indonesia,2200,7,790.66,72.8,17.97
USA,8500,6,829.06,28.6,40.28
Indonesia,2200,4,744.99,61.5,15.5
Australia,4500,7,778.29,50.9,28.23
Australia,4500,11,763.59,61.3,28.81
South Africa,3800,5,704.0,59.3,22.94
Indonesia,2200,4,856.19,46.1,14.21
South Africa,3800,1,629.53,29.1,19.3
Australia,4500,6,645.93,76.1,27.37
Australia,4500,3,746.67,76.1,27.52
Australia,4500,12,709.92,31.2,24.17
Australia,4500,7,836.77,52.9,28.44
USA,8500,6,690.64,49.3,41.98
Indonesia,2200,4,671.99,71.0,15.61
South Africa,3800,1,569.45,38.0,20.55
Australia,4500,4,704.63,40.9,23.86
Australia,4500,9,725.47,51.1,24.55
Indonesia,2200,2,520.08,79.5,15.54
Australia,4500,6,783.83,77.0,28.39
Indonesia,2200,1,774.0,40.0,14.68
Indonesia,2200,1,778.74,27.2,13.81
Australia,4500,6,558.89,35.1,21.23
South Africa,3800,8,808.86,42.2,24.61
South Africa,3800,7,813.43,77.0,28.43
Australia,4500,2,685.86,84.3,28.73
South Africa,3800,10,722.47,38.2,20.4
Australia,4500,2,555.05,65.9,25.17
Australia,4500,11,637.32,82.0,29.63
Australia,4500,6,720.0,38.9,22.51
South Africa,3800,6,871.9,72.5,24.64
Indonesia,2200,2,627.15,39.4,14.23
Australia,4500,9,823.95,79.5,27.92
Australia,4500,2,847.39,32.4,23.95
Indonesia,2200,6,548.03,82.1,15.88
Australia,4500,6,524.76,53.3,23.19
Indonesia,2200,10,700.89,20.9,12.24
Indonesia,2200,4,791.63,49.0,15.9
South Africa,3800,2,580.32,40.2,20.52
Indonesia,2200,4,758.81,27.7,12.8
South Africa,3800,3,655.85,46.9,20.39
Australia,4500,11,861.2,29.2,24.79
Indonesia,2200,1,702.93,60.3,14.37
Indonesia,2200,3,589.13,29.5,10.85
USA,8500,7,788.46,73.7,55.06
Indonesia,2200,4,748.83,43.1,13.9
Australia,4500,2,767.97,55.9,25.17
USA,8500,10,723.18,80.6,47.45
South Africa,3800,11,776.56,32.6,20.09
Australia,4500,2,838.13,42.3,22.9
Indonesia,2200,6,546.02,57.4,14.27
Australia,4500,5,659.25,25.2,21.8
Australia,4500,8,715.83,35.1,25.75
Australia,4500,8,630.76,80.2,31.62
Australia,4500,8,777.29,35.6,25.36
Australia,4500,1,590.36,30.8,22.94
USA,8500,2,592.45,77.9,47.72
South Africa,3800,12,537.86,36.7,20.59
South Africa,3800,5,834.15,25.7,20.81
Australia,4500,1,680.15,51.8,26.25
Australia,4500,10,719.28,39.5,22.12
Indonesia,2200,1,825.45,43.6,14.74
Indonesia,2200,5,736.5,42.0,13.28
Indonesia,2200,1,538.45,46.1,14.35
Indonesia,2200,10,730.03,50.2,13.9
Indonesia,2200,11,560.62,58.8,16.77
South Africa,3800,9,693.74,34.0,19.57
South Africa,3800,12,866.36,54.8,24.82
South Africa,3800,2,760.02,53.2,21.45
Australia,4500,7,607.25,63.1,28.55
Indonesia,2200,12,785.74,75.7,17.27
Indonesia,2200,4,670.58,40.1,13.78
USA,8500,6,699.01,31.6,37.65
Australia,4500,3,642.4,76.5,27.48
Australia,4500,7,825.12,31.8,25.55
Indonesia,2200,5,562.88,29.1,12.13
Australia,4500,10,534.94,40.9,22.96
Indonesia,2200,3,630.26,37.2,13.12
Indonesia,2200,6,709.93,36.8,12.99
South Africa,3800,12,540.63,31.3,19.57
Indonesia,2200,5,742.19,83.0,16.54
Indonesia,2200,2,586.16,41.3,13.24
South Africa,3800,9,736.89,51.8,20.25
South Africa,3800,10,812.73,36.7,20.76
Indonesia,2200,10,677.05,62.8,13.68
South Africa,3800,2,545.1,78.1,22.58
Australia,4500,9,638.04,67.9,25.82
Australia,4500,7,534.74,23.2,22.86
South Africa,3800,6,694.61,25.6,18.82
South Africa,3800,7,694.06,47.9,24.2
Australia,4500,9,684.45,75.0,26.76
Indonesia,2200,10,542.3,57.5,13.64
Australia,4500,2,664.83,47.6,24.78
South Africa,3800,1,823.84,37.1,21.76
South Africa,3800,2,742.02,76.0,24.81
Australia,4500,8,558.38,43.8,25.03
Australia,4500,4,877.58,76.5,29.08
Australia,4500,9,622.67,61.0,26.77
South Africa,3800,3,592.53,37.2,18.76
Australia,4500,5,579.26,24.2,20.6
Australia,4500,3,826.74,56.3,25.31
Australia,4500,12,711.82,75.9,29.49
Indonesia,2200,5,661.87,75.3,15.33
Indonesia,2200,9,666.31,77.2,15.59
South Africa,3800,10,778.92,37.7,21.01
South Africa,3800,7,793.74,64.0,26.05
Australia,4500,4,792.32,50.8,25.42
Australia,4500,5,688.68,29.6,21.14
USA,8500,8,594.16,81.9,53.56
Australia,4500,12,680.5,73.1,29.15
Indonesia,2200,12,701.93,46.2,15.78
Australia,4500,2,856.74,68.8,28.55
USA,8500,10,650.83,81.0,46.84
Indonesia,2200,8,852.52,84.8,18.42
Australia,4500,6,631.71,45.9,22.93
USA,8500,2,536.92,42.0,38.22
South Africa,3800,2,808.66,48.2,21.52
USA,8500,9,637.44,69.2,45.15
Australia,4500,9,568.0,35.8,22.18
Australia,4500,2,690.75,30.9,22.02
Australia,4500,11,540.66,57.9,27.08
South Africa,3800,1,621.63,58.0,23.87
Australia,4500,1,769.02,63.0,28.29
USA,8500,3,705.22,75.7,46.97
South Africa,3800,10,729.55,71.9,23.4
South Africa,3800,12,691.17,69.2,25.55
Indonesia,2200,2,830.67,51.2,14.62
South Africa,3800,12,593.44,73.7,24.13
South Africa,3800,7,869.86,53.3,25.5
Indonesia,2200,2,583.24,53.4,12.66
Indonesia,2200,3,689.79,34.8,12.72
USA,8500,5,522.57,49.7,39.22
Australia,4500,7,840.81,49.9,28.19
Australia,4500,5,548.52,23.1,21.07
Australia,4500,4,738.12,47.8,24.24
South Africa,3800,10,610.31,53.1,21.57
USA,8500,7,640.89,60.0,47.43
Australia,4500,12,614.58,50.7,26.09
Australia,4500,9,620.44,46.3,22.86
Australia,4500,6,543.0,24.8,20.68
Australia,4500,2,629.16,82.8,27.29
South Africa,3800,7,805.91,60.6,26.35
USA,8500,8,552.88,30.5,41.9
Australia,4500,2,681.98,65.0,26.22
Indonesia,2200,7,832.18,82.1,19.21
Australia,4500,4,871.88,75.5,28.26
South Africa,3800,8,541.26,37.7,21.61
Australia,4500,3,740.08,44.1,23.55
Indonesia,2200,3,524.92,78.2,15.13
South Africa,3800,11,643.14,72.6,24.74
Australia,4500,1,790.22,35.3,24.95
Australia,4500,6,680.39,82.9,27.58
South Africa,3800,2,755.56,76.7,23.93
USA,8500,2,653.94,26.0,36.05
South Africa,3800,9,832.14,35.9,20.06
Indonesia,2200,4,636.28,77.8,14.76
Australia,4500,6,616.04,27.8,21.11
Indonesia,2200,9,647.25,40.5,13.1
South Africa,3800,5,776.02,20.4,18.78
Indonesia,2200,12,874.0,35.7,15.81
Indonesia,2200,3,738.64,25.8,12.31
South Africa,3800,10,620.18,45.7,20.45
Indonesia,2200,6,823.77,49.9,14.16
USA,8500,3,544.81,51.4,40.23
Australia,4500,8,835.97,25.8,24.99
Indonesia,2200,10,522.66,53.1,14.24
Australia,4500,6,871.52,82.1,28.81
Australia,4500,6,649.12,37.4,23.08
South Africa,3800,4,788.78,20.8,18.12
Australia,4500,1,772.56,20.6,23.56
South Africa,3800,4,583.37,76.3,22.25
Indonesia,2200,12,680.68,67.3,16.17
Indonesia,2200,7,538.93,26.8,14.5
South Africa,3800,9,790.65,56.9,24.03
Australia,4500,3,613.86,53.7,23.61
South Africa,3800,4,706.75,23.3,19.02
Australia,4500,7,626.72,80.4,31.13
Australia,4500,9,719.43,39.4,22.72
South Africa,3800,6,774.74,26.9,19.78
Indonesia,2200,9,677.91,22.5,12.6
South Africa,3800,1,752.71,49.8,22.86
South Africa,3800,5,831.83,52.4,22.23
Australia,4500,10,675.52,84.9,27.81
South Africa,3800,2,835.77,54.3,22.29
South Africa,3800,11,847.84,48.3,23.88
South Africa,3800,10,743.75,34.3,19.54
South Africa,3800,5,568.07,45.1,20.28
South Africa,3800,6,750.08,42.2,18.74
USA,8500,3,804.07,59.2,44.26
Australia,4500,4,815.86,62.0,25.81
South Africa,3800,3,714.11,36.6,20.47
South Africa,3800,3,554.93,24.2,18.49
South Africa,3800,10,539.84,47.7,20.56
South Africa,3800,12,663.27,80.5,25.77
Australia,4500,1,873.18,63.0,29.56
Indonesia,2200,12,540.55,42.3,14.54
Indonesia,2200,1,524.29,29.1,13.14
Indonesia,2200,11,815.65,35.9,14.83
South Africa,3800,9,835.76,35.8,19.68
Australia,4500,3,747.18,21.6,21.62
Indonesia,2200,8,823.74,48.5,16.75
Australia,4500,10,791.12,67.3,25.6
Indonesia,2200,6,664.41,81.6,15.29
South Africa,3800,6,593.03,84.9,23.66
South Africa,3800,9,734.68,37.8,20.98
Indonesia,2200,5,841.52,64.8,16.69
Australia,4500,10,566.75,64.0,24.15
Australia,4500,3,736.81,41.0,23.87
Indonesia,2200,10,773.18,74.2,15.56
South Africa,3800,1,675.52,22.1,20.35
USA,8500,9,579.94,66.3,43.31
South Africa,3800,10,694.09,21.0,17.94
USA,8500,8,700.22,79.3,54.79
Australia,4500,9,646.28,74.1,25.96
South Africa,3800,4,681.27,46.4,20.11
South Africa,3800,11,684.81,36.8,20.55
Indonesia,2200,1,557.25,62.7,15.45
USA,8500,12,707.52,50.5,46.12
Australia,4500,6,640.85,57.3,26.27
Australia,4500,3,566.92,61.8,26.4
Australia,4500,5,716.19,25.6,21.32
Australia,4500,2,713.42,64.0,25.65
Indonesia,2200,7,526.36,26.7,13.54
South Africa,3800,3,819.66,84.5,24.51
Australia,4500,4,522.46,50.4,22.45
Australia,4500,3,807.48,27.0,22.91
Indonesia,2200,5,814.16,49.1,13.39
Australia,4500,5,794.37,80.9,28.44
USA,8500,1,863.02,35.6,44.43
Indonesia,2200,9,521.33,30.6,13.74
Australia,4500,6,778.98,21.8,22.63
Australia,4500,12,843.33,80.8,30.24
USA,8500,2,734.58,27.0,38.71
USA,8500,6,547.65,46.9,39.29
Indonesia,2200,4,849.69,52.7,14.46
USA,8500,9,542.23,67.7,43.6
South Africa,3800,2,617.82,73.0,22.4
Australia,4500,3,746.69,47.1,24.17
Australia,4500,12,569.58,23.5,23.08
Indonesia,2200,2,630.12,51.4,14.46
Australia,4500,10,783.47,31.3,23.67
Australia,4500,6,729.61,39.5,22.46
Australia,4500,9,813.78,48.1,25.16
Indonesia,2200,1,777.38,36.2,15.32
USA,8500,2,571.95,26.1,35.66
Indonesia,2200,12,743.91,77.3,16.79
USA,8500,3,826.57,76.1,50.01
Australia,4500,7,860.38,61.1,30.12
South Africa,3800,3,706.49,20.5,19.46
South Africa,3800,3,616.91,83.8,23.52
Australia,4500,12,646.62,48.6,25.79
South Africa,3800,12,760.94,49.1,22.71
South Africa,3800,2,540.06,79.3,23.0
South Africa,3800,1,723.71,79.6,27.37
Indonesia,2200,6,520.27,58.6,14.48
Australia,4500,10,849.34,41.8,25.36
USA,8500,7,856.56,61.4,53.0
Australia,4500,9,744.26,49.0,25.13
Indonesia,2200,11,538.29,50.4,14.39
Indonesia,2200,7,622.75,58.1,16.23
Australia,4500,7,630.32,82.5,31.51
Australia,4500,2,556.16,53.1,23.65
Australia,4500,8,660.18,67.6,28.94
Australia,4500,6,534.96,33.4,21.87
USA,8500,10,557.31,65.7,42.54
USA,8500,3,666.86,83.7,47.59
Indonesia,2200,9,531.34,27.9,12.63
South Africa,3800,5,811.94,46.0,21.62
USA,8500,6,707.28,22.4,37.16
Indonesia,2200,10,857.14,73.7,15.76
Indonesia,2200,8,715.13,82.9,18.64
Australia,4500,1,618.48,46.0,24.36
USA,8500,12,536.05,29.3,39.24
USA,8500,7,735.77,42.2,46.75
USA,8500,5,685.44,52.4,42.63
South Africa,3800,10,694.7,29.7,18.89
South Africa,3800,3,829.58,33.8,19.85
South Africa,3800,5,730.58,37.3,20.27
Australia,4500,6,814.42,83.6,26.94
Indonesia,2200,8,707.52,63.5,17.1
Indonesia,2200,4,670.47,75.5,15.4
Indonesia,2200,9,556.68,21.0,11.51
South Africa,3800,12,648.18,71.3,25.18
Australia,4500,9,794.73,72.1,26.67
Australia,4500,4,733.69,28.3,21.36
Indonesia,2200,7,827.14,57.8,16.91
Australia,4500,5,857.02,53.4,25.83
Australia,4500,3,806.87,42.2,24.58
Indonesia,2200,1,819.5,46.2,15.26
South Africa,3800,11,847.0,59.3,23.46
South Africa,3800,9,558.46,35.5,18.96
Australia,4500,1,532.66,41.0,24.17
South Africa,3800,8,549.52,39.4,21.27
Australia,4500,9,699.11,37.9,23.77
Indonesia,2200,9,775.35,21.4,13.36
Australia,4500,1,860.31,79.6,30.89
South Africa,3800,10,814.59,64.4,23.59
South Africa,3800,11,846.13,28.2,21.16
Australia,4500,8,604.37,28.0,24.43
Indonesia,2200,11,852.38,55.4,15.46
Australia,4500,10,697.68,49.5,23.32
Australia,4500,11,879.81,72.1,30.48
Indonesia,2200,4,781.91,27.5,13.98
Australia,4500,2,590.2,40.4,23.14
South Africa,3800,4,667.78,80.7,24.69
South Africa,3800,8,873.2,68.1,27.74
Australia,4500,2,580.52,53.3,25.37
USA,8500,12,714.48,23.3,40.08
Australia,4500,12,764.79,33.2,24.65
USA,8500,2,782.77,77.8,50.12
Australia,4500,8,666.67,84.1,31.82
Australia,4500,11,577.43,77.6,28.2
Australia,4500,12,581.49,32.8,23.97
Australia,4500,7,559.65,45.3,24.97
Australia,4500,6,627.0,28.8,21.82
South Africa,3800,2,879.95,20.1,18.7
South Africa,3800,8,607.64,74.7,25.7
USA,8500,6,614.56,69.9,45.86
USA,8500,11,641.4,46.1,43.98
Australia,4500,8,607.67,80.6,30.33
Australia,4500,2,575.23,43.8,22.14
Indonesia,2200,8,588.54,43.8,14.9
Australia,4500,5,563.69,84.1,26.67
South Africa,3800,12,521.43,52.6,22.88
Australia,4500,10,823.53,61.9,27.11
Indonesia,2200,7,554.15,55.4,16.06
Indonesia,2200,3,738.42,30.8,13.36
Australia,4500,3,841.07,38.7,24.57
Australia,4500,10,664.12,55.7,25.7
Indonesia,2200,1,837.82,50.7,16.45
South Africa,3800,5,870.91,74.8,24.94
Australia,4500,8,843.82,81.2,32.95
Indonesia,2200,2,682.99,74.3,16.44
Indonesia,2200,8,809.39,53.1,17.69
Australia,4500,4,594.7,57.0,24.22
USA,8500,2,629.06,68.4,45.43
USA,8500,5,877.35,65.4,48.29
Indonesia,2200,2,632.14,70.9,14.33
South Africa,3800,11,747.23,30.6,21.26
Australia,4500,2,709.34,72.6,28.74
Australia,4500,4,782.23,40.6,23.12
South Africa,3800,10,753.18,21.9,18.39
South Africa,3800,9,649.6,25.0,17.49
Indonesia,2200,9,667.13,50.3,12.62
Australia,4500,1,872.41,45.1,26.59
Australia,4500,8,580.57,32.3,23.6
